Date,Model,Actual,Predicted,Probability
2021-10-31,Logistic Regression,1,0,0.48191714202200775
2021-10-31,Logistic Regression,1,1,0.604276627371858
2021-11-01,Logistic Regression,1,0,0.2646608798707941
2021-11-05,Logistic Regression,0,0,0.39056747921904644
2021-11-06,Logistic Regression,0,0,0.4481545148753374
2021-11-06,Logistic Regression,0,0,0.4638259787194564
2021-11-06,Logistic Regression,0,1,0.6839669651665714
2021-11-06,Logistic Regression,1,1,0.6008897190730359
2021-11-06,Logistic Regression,0,1,0.6751061817672086
2021-11-07,Logistic Regression,1,1,0.6328453201579451
2021-11-07,Logistic Regression,0,1,0.5592398267395756
2021-11-07,Logistic Regression,0,0,0.45978137146357684
2021-11-07,Logistic Regression,0,0,0.41803965732553683
2021-11-20,Logistic Regression,0,0,0.41434620828582797
2021-11-20,Logistic Regression,1,0,0.37047695824497096
2021-11-20,Logistic Regression,1,1,0.663899865419909
2021-11-20,Logistic Regression,1,0,0.36283347736939
2021-11-20,Logistic Regression,0,0,0.4444066043030756
2021-11-20,Logistic Regression,1,0,0.4771399714997614
2021-11-20,Logistic Regression,1,1,0.759338620128668
2021-11-20,Logistic Regression,1,1,0.5231814007704076
2021-11-21,Logistic Regression,1,1,0.5695965758794449
2021-11-21,Logistic Regression,1,1,0.8178718839038032
2021-11-27,Logistic Regression,0,0,0.31260679690413756
2021-11-27,Logistic Regression,1,1,0.639019517715507
2021-11-27,Logistic Regression,1,1,0.7300481511820005
2021-11-27,Logistic Regression,0,0,0.1090546950766111
2021-11-27,Logistic Regression,0,0,0.19867234076805354
2021-11-28,Logistic Regression,0,0,0.3327235423983975
2021-11-28,Logistic Regression,1,1,0.9722144827866355
2021-11-28,Logistic Regression,1,1,0.6518037754852964
2021-11-28,Logistic Regression,0,0,0.47286597085574095
2021-11-30,Logistic Regression,0,0,0.4749590780473502
2021-11-30,Logistic Regression,0,0,0.3408899062926685
2021-12-01,Logistic Regression,1,1,0.504329392227661
2021-12-01,Logistic Regression,1,1,0.5583335407677509
2021-12-01,Logistic Regression,0,0,0.4689713699466632
2021-12-01,Logistic Regression,0,0,0.22637556430669864
2021-12-01,Logistic Regression,1,1,0.6013795511101178
2021-12-01,Logistic Regression,1,0,0.409989166407375
2021-12-02,Logistic Regression,0,1,0.6102156432997697
2021-12-02,Logistic Regression,1,0,0.4806940911522388
2021-12-04,Logistic Regression,1,1,0.9251894603522377
2021-12-04,Logistic Regression,0,0,0.48906088962624167
2021-12-04,Logistic Regression,1,1,0.5916302055434274
2021-12-04,Logistic Regression,0,1,0.5213317380244423
2021-12-04,Logistic Regression,0,1,0.6324388501497752
2021-12-05,Logistic Regression,1,1,0.6704207722867143
2021-12-05,Logistic Regression,0,0,0.19279477851386584
2021-12-05,Logistic Regression,1,1,0.7420956213384525
